ID	GM12878	H1ESC	HMEC	HUVEC	HELA	IMR90	NHEK
ENSG00000176659	0.6	0	7.5	0	0	0	4
ENSG00000179676	21.5	0.05	0	0	0	0	0
ENSG00000179840	10.5	0.25	0	0	0	0	0
ENSG00000181800	14.5	2.5	0	5	0	0.15	0.6
ENSG00000184809	0	21.5	0	0	0	0	0
ENSG00000185847	0.05	13.5	0	0	0	0	0.05
ENSG00000205562	0	0.1	1.25	5.5	0	0.35	2
ENSG00000216863	17.5	0	0	0	0	0	0
ENSG00000218357	8	0	0	0	0	0	0
ENSG00000222042	13	0.35	0	0	0	0.1	0
ENSG00000223373	12	0.3	0	0	0	0.2	0.45
ENSG00000223403	0	0.2	0.25	8.5	0	8	0
ENSG00000223436	0	0	0	24	0	0	0
ENSG00000223534	30.5	0.25	0	0	0	0	5
ENSG00000223870	7.5	0.2	0	0	0	0.05	0
ENSG00000223881	19.5	0	0	0	0	0	0
ENSG00000223883	9.5	0.25	0.2	0	0	0.05	0.15
ENSG00000224101	11	11	0	14	0	0	0
ENSG00000224137	65	0	0	0	0	0	0
ENSG00000224184	23	0	0	0	0	0.1	0
ENSG00000224204	9.5	0.3	0	0.15	0	0.05	0
ENSG00000224260	0	0.05	12.5	0	0	0	10.5
ENSG00000224521	21	0	0	0	0	0	0
ENSG00000224700	0	6.25	0	0.5	0	1	1.5
ENSG00000224795	0	13	0	0	0	0	0
ENSG00000224848	0	7.5	0	0	0	0.3	0.2
ENSG00000224933	13	0.25	0.25	0	0	0.05	0
ENSG00000225007	0	0	0	7.5	0	0.2	0
ENSG00000225112	1.5	0.5	5	8.5	0	0.55	0
ENSG00000225330	0	13	0	0	0	0	0
ENSG00000225383	0	0.25	14.5	1.5	0	2	72.5
ENSG00000225519	8.5	0	0	0	0	0	0
ENSG00000225655	2	0	0.4	6	0	3	0.2
ENSG00000226252	0	0	0	7	0	0	0
ENSG00000226320	1.2	0.05	0	13.5	0	0.05	0
ENSG00000226440	0	0	0	6.5	0	0.35	0
ENSG00000226506	0	18	0	0	0	0	0
ENSG00000226508	0.05	5.5	0.25	0.05	0	0.05	0.1
ENSG00000226669	11	0.1	0	0.05	0	0.1	0
ENSG00000226673	0.55	8	0.05	0	0	0	0
ENSG00000226751	12.5	0	0	0.15	0	0	0
ENSG00000226779	329	0	0	0	0	0.25	0
ENSG00000226806	7.5	0.05	0	0	0	1.5	0
ENSG00000226859	15.5	0.05	0.3	0.05	0	0.2	0
ENSG00000227053	5	4	0.5	0.1	0	14	0.95
ENSG00000227170	0	2.6	0	0.4	0	5.5	2.5
ENSG00000227220	0	0.65	0.4	4.15	0	6.05	0
ENSG00000227466	0	0	0	0	0	5.05	0
ENSG00000227902	42	0	0	0	0	0	0
ENSG00000227920	5.5	0.2	0	0	0	0	0
ENSG00000228031	5.5	0.05	0	0	0	0.35	0
ENSG00000228139	10.5	0.35	0	0	0	0	0
ENSG00000228213	0	8.1	0	6.6	0	1.5	0
ENSG00000228222	0	27	0	0	0	1.15	0
ENSG00000228403	105.5	0	0	0	0	0	0
ENSG00000228539	0	10.5	0.25	0	0	0	0.45
ENSG00000228592	0.05	24.5	0	0	0	0	0
ENSG00000228598	27	5	0	0	0	0	1.25
ENSG00000228655	7.5	0	0	0	0	0	0
ENSG00000228888	103	0	0	0	0	0	0
ENSG00000228951	0	0.25	45	0	0	0	2.15
ENSG00000229154	9.5	0.55	0	0	0	0.1	1
ENSG00000229201	43	0	0	0	0	0	0
ENSG00000229206	2	7.35	0	18	0	0.35	3.5
ENSG00000229246	9.5	0	0	0	0	0	0
ENSG00000229255	35	0	0	0	0	0	0
ENSG00000229289	45.5	0	0	0	0	0	0
ENSG00000229335	0	34	0	0	0	0	0
ENSG00000229458	0.05	5.55	0	1.15	0	0	0
ENSG00000229546	0	8	0	0	0	0.05	0
ENSG00000229639	22.5	0	0	0	0	0	0
ENSG00000229646	0.4	8.45	0	0	0	0.1	0
ENSG00000229671	9	0	0	0.75	0	0	0
ENSG00000229751	15	1.65	0	4.35	0	2.4	0
ENSG00000229782	0	0.15	0	9.5	0	0	0
ENSG00000229976	0.2	7	0	0	0	0	0
ENSG00000230233	8.5	0	0	0	0	0	0
ENSG00000230309	0	0	0.15	7.5	0	3.5	0
ENSG00000230316	0	5.5	0	0	0	0	0
ENSG00000230322	56	5.15	0	4.1	0	0.5	1.6
ENSG00000230623	1.35	79	0.25	0	0	1.5	1.5
ENSG00000230805	0	0.15	0	6	0	0.5	0
ENSG00000230922	0	34.5	0	0	0	0	0
ENSG00000230937	6	28	209	0	0	0	419.5
ENSG00000231040	24	0.05	0	0	0	0	0
ENSG00000231132	0	14.8	0	0.2	0	7.5	0.5
ENSG00000231435	6.4	0.15	0	0	0	0	0
ENSG00000231507	9.5	0.3	0	0.2	0	0	0.3
ENSG00000231620	28	0	0	0	0	0	0
ENSG00000231621	7	0	0	0.2	0	0	0
ENSG00000231671	47	0.05	0	0.5	0	0	0.1
ENSG00000231689	0.1	26	0	0.1	0	0	0
ENSG00000231698	0	57.5	0	0	0	0	0
ENSG00000232001	7	0.1	0	0	0	0	0
ENSG00000232153	7.5	0	0	0.2	0	0	0
ENSG00000232271	474.5	0	0	0	0	0.05	0
ENSG00000232301	0	39	0	0	0	0	0
ENSG00000232591	10.5	0	0	0	0	0	0
ENSG00000232790	0.1	9.5	0	0	0	0	0
ENSG00000233096	0.45	7.65	0	6.75	0	0.2	0
ENSG00000233581	0	0	0	8	0	2.2	0.1
ENSG00000233844	36.5	1.6	0.75	0.1	0	2.6	3.5
ENSG00000233906	5.5	41.5	0.25	0.2	0	0	2.4
ENSG00000233953	0	7	0	0.1	0	0.1	1
ENSG00000233975	6.5	0	0	0.05	0	0.05	0.35
ENSG00000234184	7.5	0	0	0	0	0	0
ENSG00000234261	0	14	0	0	0	0	0
ENSG00000234286	0.9	6.5	0	1.5	0	0	0
ENSG00000234405	2	7	0.2	2.45	0	3	0.6
ENSG00000234464	14.5	0	0	0	0	0	0
ENSG00000234661	7.5	0	0	0	0	0.05	0
ENSG00000234791	0	7	0	0	0	0	0
ENSG00000234918	7.5	0	0	0	0	0	0
ENSG00000235035	0	11.15	0	0	0	0	0
ENSG00000235038	0.3	10.5	0	0	0	0	0
ENSG00000235131	6	0.6	0	0	0	0.05	0
ENSG00000235152	0	73	0	0	0	0	0
ENSG00000235215	2.5	7	0	0.15	0	0.45	0
ENSG00000235279	0	12.1	0	0	0	6.55	0
ENSG00000235300	20	0.05	0	0	0	0	0
ENSG00000235366	18	0.05	0	0.05	0	0	0
ENSG00000235403	0	6.5	0	0	0	0.55	0
ENSG00000235427	1	0	0.5	72.5	0	24	54.5
ENSG00000235518	0	7.25	0	0	0	0	0
ENSG00000235576	312	0.45	0.25	0	0	0	0
ENSG00000235688	0.05	24.45	0	0	0	0	0.15
ENSG00000236082	0	7.2	0	0	0	0.05	0
ENSG00000236094	0	22.5	0	0	0	0.35	0
ENSG00000236120	0.25	0.35	6	0	0	0	2.2
ENSG00000236333	0.05	0.65	1.85	0	0	9	0.05
